Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
Motorola Solutions Inc.,MSI,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011)
MSCI Inc,MSCI,reports,Financials,Financial Exchanges & Data,"New York, New York",04/04/2018,1408198,
Mylan N.V.,MYL,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",23/04/2004,69499,
"Nasdaq, Inc.",NDAQ,reports,Financials,Financial Exchanges & Data,"New York, New York",22/10/2008,1120193,
National Oilwell Varco Inc.,NOV,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",14/03/2005,1021860,
Nektar Therapeutics,NKTR,reports,Health Care,Pharmaceuticals,"San Francisco, California",19/03/2018,906709,
NetApp,NTAP,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",25/06/1999,1002047,
Netflix Inc.,NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997
Newell Brands,NWL,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",30/04/1989,814453,
Newmont Mining Corporation,NEM,reports,Materials,Gold,"Denver, Colorado",30/06/1969,1164727,1921
News Corp. Class A,NWSA,reports,Communication Services,Publishing,"New York, New York",01/08/2013,1564708,
News Corp. Class B,NWS,reports,Communication Services,Publishing,"New York, New York",18/09/2015,1564708,
NextEra Energy,NEE,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",30/06/1976,753308,
Nielsen Holdings,NLSN,reports,Industrials,Research & Consulting Services,"New York, New York",09/07/2013,1492633,
Nike,NKE,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30/11/1988,320187,
NiSource Inc.,NI,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
Noble Energy Inc,NBL,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",08/10/2007,72207,
Nordstrom,JWN,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",31/08/1986,72333,
Norfolk Southern Corp.,NSC,reports,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
Northern Trust Corp.,NTRS,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
Northrop Grumman Corp.,NOC,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",30/06/1985,1133421,
Norwegian Cruise Line,NCLH,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/2017,1513761,
NRG Energy,NRG,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",29/01/2010,1013871,
Nucor Corp.,NUE,reports,Materials,Steel,"Charlotte, North Carolina",30/04/1985,73309,
Nvidia Corporation,NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",30/11/2001,1045810,
O'Reilly Automotive,ORLY,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",27/03/2009,898173,
Occidental Petroleum,OXY,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",31/12/1982,797468,
Omnicom Group,OMC,reports,Communication Services,Advertising,"New York, New York",,29989,1986
ONEOK,OKE,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/03/2010,1039684,
Oracle Corp.,ORCL,reports,Information Technology,Application Software,"Redwood Shores, California",31/08/1989,1341439,
PACCAR Inc.,PCAR,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",31/12/1980,75362,
Packaging Corporation of America,PKG,reports,Materials,Paper Packaging,"Lake Forest, Illinois",26/07/2017,75677,
